code,numeric_code,name,symbol,minor_units
XBB,956,unidad monetaria europea,XBB,
XBC,957,unidad de cuenta europea (XBC),XBC,
XBD,958,unidad de cuenta europea (XBD),XBD,
XCD,951,dólar del Caribe Oriental,XCD,2
XCG,532,florín caribeño,Cg.,2
XDR,960,derechos especiales de giro,XDR,
XOF,952,franco CFA de África Occidental,XOF,0
XPD,964,paladio,XPD,
XPF,953,franco CFP,CFPF,0
XPT,962,platino,XPT,
XSU,994,Sucre,XSU,
XUA,965,ADB Unit of Account,XUA,
YER,886,rial yemení,YER,2
ZAR,710,rand sudafricano,ZAR,2
ZMW,967,kuacha zambiano,ZMW,2
ZWG,924,oro zimbabuense,ZWG,2
